class3_code,substance_code
214,133101ATB
214,133102ATB
214,149102ATB
214,149104ATR
214,151601ATB
214,151603ATB
214,157501ATR
214,157503ATR
214,174401ATR
214,177301ATB
214,177303ATB
214,180230BIJ
214,180231BIJ
214,180301ATB
214,180302ATB
214,180303ATB
214,182001ATB
214,184501ATB
214,185701ATB
214,185702ATB
214,185703ATB
214,188001ATB
214,188002ATB
214,196102ATB
214,201030BIJ
214,201031BIJ
214,201033BIJ
214,211301ATB
214,211302ATB
214,222401ATB
214,222402ATB
214,222404ATB
214,229330BIJ
214,247101ATB
214,247102ATB
214,247103ATB
214,247104ATB
214,262100ATB
214,262500ATB
214,356400ATB
214,378801ATB
214,378802ATB
214,378803ATB
214,378900ATB
214,385700ATB
214,385800ATB
214,423700ATB
214,429201ATB
214,442600ATB
214,443200ATB
214,443300ATB
214,447100ATB
214,447200ATB
214,459801ACH
214,459801ATB
214,459802ACH
214,459901ATB
214,459902ATB
214,460500ATB
214,464601ATB
214,468501ATB
214,468502ATB
214,468503ATB
214,469800ATB
214,469900ATB
214,470000ATB
214,470801ATB
214,470802ATB
214,471430CSI
214,476201ATB
214,479701ATB
214,483101ATB
214,483102ATB
214,483201ATB
214,483202ATB
214,483401ACH
214,485201ATB
214,485202ATB
214,486501ATB
214,486502ATB
214,486503ATB
214,486900ATB
214,489501ATB
214,489502ATB
214,489503ATB
214,492800ATB
214,492900ATB
214,495800ATB
214,500500ATB
214,501601ATB
214,501602ATB
214,502600ATB
214,502700ATB
214,503000ATB
214,511500ATB
214,511600ATB
214,511700ATB
214,512430BIJ
214,512431BIJ
214,512432BIJ
214,513600ATB
214,513900ATB
214,515201ATB
214,515202ATB
214,515203ATB
214,519700ATB
214,519800ATB
214,520000ATB
214,521200ATB
214,521300ATB
214,521400ATB
214,522000ATB
214,522200ATB
214,522300ATB
214,522400ATB
214,522600ATB
214,522700ATB
214,522800ATB
214,522900ATB
214,523000ATB
214,523100ATB
214,523200ATB
214,523300ATB
214,523400ATB
214,526800ATB
214,547800ATB
214,547900ATB
214,548000ATB
214,553301ATB
214,556200ATB
214,564701ATB
214,564702ATB
214,582200ATB
214,582400ATB
214,623100ATB
214,627601ATB
214,627602ATB
214,627603ATB
214,627604ATB
214,627605ATB
214,629400ATB
214,629500ATB
214,629600ATB
214,631300ATB
214,632201ATB
214,632800ATB
214,632900ATB
214,633000ATB
214,637400ATB
214,637500ATB
214,637600ATB
214,644800ATB
214,651900ATB
214,652000ATB
214,652100ATB
214,652301ATB
214,652302ATB
214,652303ATB
214,652304ATB
214,652700ATB
214,652900ATB
214,653000ATB
214,653100ATB
214,662401ATB
214,662402ATB
214,662403ATB
214,662800ATB
214,662900ATB
214,663000ATB
214,663500ATB
214,663600ATB
214,663700ATB
214,673500ATB
214,673600ATB
214,682700ATB
214,682800ATB
214,682900ATB
214,697300ATB
214,697400ATB
214,697500ATB
214,697600ATB
214,701401ATB
214,701402ATB
214,707500ATB
214,707600ATB
214,707700ATB
214,709000ATB
214,709100ATB
214,710700ATB
214,716100ATB
214,717500ATB
214,721100ATB
214,728200ATB
214,728300ATB
214,728400ATB
214,736200ATB
214,736600ATB
214,736700ATB
214,736800ATB
214,742600ATB
215,146602ACH
215,146603ATB
215,163601ATB
215,478801ATB
216,195601ATB
216,211930BIJ
217,145701ACR
217,145703ACR
217,145704BIJ
217,145706ATB
217,145707ACR
217,145707ATR
217,160501ACH
217,178403ACR
217,178406ACR
217,178407ATR
217,178501ATB
217,178502ATB
217,178504ATR
217,178506ATR
217,197001ATB
217,197002ATB
217,198601ACH
217,198601ATB
217,201301ATB
217,201302BIJ
217,201402ATR
217,201405ATR
217,201409ATR
217,201901ATB
217,201930BIJ
217,202602ATL
217,202632BIJ
217,202633BIJ
217,202634CPC
217,202637CSI
217,244501ATB
217,244502ATR
217,247603ATR
217,247605ATR
217,247606ATB
217,247607ATB
217,247630BIJ
217,441201ATB
217,441202ATB
217,528201ATR
218,102201ACH
218,111501ATB
218,111502ATB
218,111503ATB
218,111504ATB
218,111505ATB
218,117101ATB
218,117102ATR
218,136901ATB
218,136902ATB
218,157702ACR
218,157704ATB
218,157706ATB
218,162403ATR
218,185801ATB
218,194901ACH
218,194902ACH
218,194930ACH
218,194930ATB
218,216601ATB
218,216602ATB
218,216603ATB
218,216604ATB
218,227801ATB
218,227802ATB
218,227806ATB
218,454001ATB
218,454001ATD
218,454002ATB
218,454002ATD
218,454003ATB
218,454003ATD
218,454005ATB
218,462201ATB
218,470901ATB
218,470902ATB
218,470903ATB
218,471000ATB
218,471100ATB
218,492501ATB
218,495201ATB
218,498801ATB
218,498900ATB
218,501501ATB
218,502201ATB
218,502202ATB
218,502203ATB
218,502204ATB
218,507800ATB
218,517900ACE
218,517900ATE
218,519300ACH
218,520301ACH
218,520302ATE
218,597301ATB
218,597302ATB
218,615901ATB
218,615902ATB
218,633800ATB
218,633900ATB
218,634600ATB
218,634800ATB
218,640700ATB
218,640800ATB
218,640900ATB
218,642301ACR
218,642301ATR
218,659501BIJ
218,663400ACS
218,667500ACE
218,674701BIJ
218,674702BIJ
218,674703BIJ
218,679300ACH
218,679300ATB
218,679401ACS
218,679402ACS
218,679403ACS
218,694000ACS
218,699400ATB
218,699500ATB
218,701100ATB
218,702800ATB
218,711200ACS
218,721300ATB
218,734000ACS
218,742400ACE
219,100430BIJ
219,100431BIJ
219,103030BIJ
219,103031BIJ
219,105630BIJ
219,105631BIJ
219,105701BIJ
219,111001ACE
219,111001ATE
219,117901ATB
219,117902ATB
219,121701ATB
219,124503ATB
219,124530BIJ
219,124531ALQ
219,124535ALQ
219,124536ALQ
219,124537ALQ
219,134631BIJ
219,148101ATB
219,148103ATB
219,148731BIJ
219,148732BIJ
219,165301ATB
219,165303ATB
219,165305ATB
219,165310ATB
219,172701ACR
219,172830BIJ
219,173201ATB
219,179303ATE
219,184101ATB
219,193802ATB
219,195730BIJ
219,198301ATB
219,201201ATB
219,201203ATB
219,201204ATB
219,210802ATR
219,215402ACM
219,215402AGN
219,215402APD
219,215430ASS
219,215432ASS
219,220630BIJ
219,223501BIJ
219,223502BIJ
219,240230BIJ
219,244101ACH
219,244102ACH
219,248901ATB
219,248902ATB
219,359632BIJ
219,359633BIJ
219,389400BIJ
219,389500BIJ
219,389700BIJ
219,423930BIJ
219,423931BIJ
219,429500BIJ
219,441430BIJ
219,461601ATB
219,472300ATB
219,472400ATB
219,472500ATB
219,489700ACR
219,495401ACH
219,517701APD
219,517701ATB
219,517702ATB
219,518900ATB
219,524000ATB
219,524100ATB
219,525000ATB
219,525100ATB
219,525200ATB
219,525300ATB
219,526300ATB
219,526400ATB
219,526500ATB
219,526900ATB
219,527000ATB
219,527100ATB
219,550401ATB
219,550402ATB
219,616501ATB
219,616502ATB
219,616503ATB
219,616504ATB
219,627901BIJ
219,629700ATB
219,629800ATB
219,629900ATB
219,630000ATB
219,630100ATB
219,630200ATB
219,631600ATB
219,631700ATB
219,634900ATB
219,635000ATB
219,635100ATB
219,635200ATB
219,644100ATB
219,644200ATB
219,651401ATB
219,651402ATB
219,651403ATB
219,653200ATB
219,654700ATB
219,654800ATB
219,654900ATB
219,655000ATB
219,661800ATB
219,661900ATB
219,662000ATB
219,662100ATB
219,663900ATB
219,664000ATB
219,664100ATB
219,664200ATB
219,664300ATB
219,664400ATB
219,670301ATB
219,671200ATB
219,671300ATB
219,671400ATB
219,671500ATB
219,671700ATB
219,673700ATB
219,673900ATB
219,674000ATB
219,674100ATB
219,677000ATB
219,677100ATB
219,677300ATB
219,677400ATB
219,678600ATB
219,679500ATB
219,679600ATB
219,679700ATB
219,680300ATB
219,683000ATB
219,683100ATB
219,683200ATB
219,684300ATB
219,684400ATB
219,684500ATB
219,684600ATB
219,686800ATB
219,686900ATB
219,688100ATB
219,688200ATB
219,688300ATB
219,688400ATB
219,690400ATB
219,690500ATB
219,690600ATB
219,690700ATB
219,691200ATB
219,691400ATB
219,692000ATB
219,692100ATB
219,692200ATB
219,692300ATB
219,692400ATB
219,692500ATB
219,693000ATB
219,701700ATB
219,701800ATB
219,701900ATB
219,702000ATB
219,702100ATB
219,702200ATB
219,704001ATB
219,704002ATB
219,704003ATB
219,706300ATB
219,706400ATB
219,706500ATB
219,706600ATB
219,706700ATB
219,708900ATB
219,709700ATB
219,709800ATB
219,709900ATB
219,710000ATB
219,710100ATB
219,710200ATB
219,710501ACH
219,712200ATB
219,712300ATB
219,712400ATB
219,712500ATB
219,719800ATB
219,719900ATB
219,721501ACH
219,721502ACH
219,721503ACH
219,721504ACH
219,722700ATB
219,722800ATB
219,726400ATB
219,726500ATB
219,727600ATB
219,728001ACS
219,728100ATB
219,728500ACE
219,729201ATB
219,729202ATB
219,730100ATB
219,738700ATB
219,738800ATB
219,738900ATB
219,739000ATB
219,741000ATB
219,741100ATB
220,542800CSI
220,542900CSI
220,543000CSI
220,636700CSI
220,636800CSI
221,199130BIJ
221,199131BIJ
221,199132BIJ
221,516800ALQ
221,516800BIJ
221,559700ALQ
221,559800BIJ
222,101801ACH
222,101804ACH
222,101807ATB
222,101830AGN
222,101831BIJ
222,101832BIJ
222,101833BIJ
222,101834CLQ
222,101835BIJ
222,101839ASY
222,101842AGN
222,101843AGN
222,101845CLQ
222,101846CLQ
222,101847CLQ
222,106301ATB
222,106330BIJ
222,106331ASY
222,115801ACS
222,118601ATB
222,119530CSI
222,119533CSI
222,123801ACH
222,123804ACH
222,123840ASY
222,123841ASY
222,123843ASY
222,123844ASY
222,150007ATB
222,150033ASY
222,150034ASY
222,150044ASY
222,150045ASY
222,150046ASY
222,152430BIJ
222,153101ACH
222,153101ATB
222,153130ASY
222,157901ATB
222,162232CSI
222,162233CSI
222,162235CSI
222,163130ASY
222,177131CLQ
222,180101ATB
222,180140ASY
222,180142ASY
222,180151ASY
222,183102ATB
222,183103ATR
222,183131ASY
222,183135ASY
222,192401ATB
222,207701ATB
222,218301ATB
222,218302ATB
222,225530CSI
222,225531CSI
